epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,406.018,0.94695,0.78141,1.28571,0.97746,0.93478,0.97651,0.58139,1.3957,0.67188,1.74018,0.0004358,0.0004358,0.0004358
81,410.912,0.9663,0.77899,1.27958,0.97235,0.93478,0.96767,0.56906,1.41196,0.69049,1.72024,0.000416,0.000416,0.000416
82,415.682,0.96946,0.77767,1.30068,0.93854,0.94565,0.97673,0.57635,1.41599,0.67475,1.73151,0.0003962,0.0003962,0.0003962
83,420.467,0.93051,0.79203,1.25302,0.96707,0.9575,0.97465,0.61268,1.26421,0.63984,1.58953,0.0003764,0.0003764,0.0003764
84,425.386,1.01674,0.80538,1.32243,0.98825,0.91387,0.97361,0.59445,1.32988,0.6673,1.63165,0.0003566,0.0003566,0.0003566
85,430.174,0.91891,0.7733,1.24069,0.95572,0.9384,0.96771,0.59976,1.27596,0.68417,1.58918,0.0003368,0.0003368,0.0003368
86,434.963,0.96153,0.89454,1.27883,0.966,0.92653,0.96962,0.5934,1.30656,0.67632,1.60435,0.000317,0.000317,0.000317
87,439.76,0.95604,0.83909,1.25465,0.9772,0.9317,0.96914,0.56421,1.39729,0.74478,1.71366,0.0002972,0.0002972,0.0002972
88,444.63,0.88496,0.75698,1.22631,0.95572,0.9384,0.96342,0.57594,1.34449,0.7396,1.67167,0.0002774,0.0002774,0.0002774
89,449.474,0.90241,0.75417,1.26217,0.94361,0.94565,0.97355,0.58975,1.30723,0.65099,1.64381,0.0002576,0.0002576,0.0002576
90,454.346,0.88511,0.69239,1.22627,0.96663,0.94448,0.97599,0.58074,1.32625,0.58917,1.66589,0.0002378,0.0002378,0.0002378
91,498.48,0.7926,0.66822,1.19816,0.95531,0.94565,0.97285,0.59169,1.30582,0.62222,1.63469,0.000218,0.000218,0.000218
92,504.244,0.75485,0.6019,1.16984,0.9293,0.91304,0.96369,0.58158,1.33407,0.74266,1.65661,0.0001982,0.0001982,0.0001982
93,509.36,0.7404,0.57929,1.15399,0.92245,0.9051,0.96652,0.58499,1.33296,0.71862,1.6672,0.0001784,0.0001784,0.0001784
94,514.65,0.75726,0.58526,1.14971,0.92523,0.92391,0.97058,0.56954,1.37522,0.6735,1.72813,0.0001586,0.0001586,0.0001586
95,519.675,0.73367,0.59558,1.13818,0.95887,0.90217,0.97177,0.60026,1.27145,0.69649,1.62807,0.0001388,0.0001388,0.0001388
96,524.839,0.71899,0.58923,1.14015,0.92902,0.92391,0.97137,0.59525,1.2849,0.73101,1.64454,0.000119,0.000119,0.000119
97,529.846,0.74019,0.59195,1.15171,0.96526,0.90619,0.97168,0.5838,1.31516,0.7201,1.67538,9.92e-05,9.92e-05,9.92e-05
98,534.872,0.71348,0.5487,1.14112,0.95365,0.94565,0.97276,0.58489,1.29831,0.72284,1.65152,7.94e-05,7.94e-05,7.94e-05
